ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value (€),Wage (€),Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Joined,Loaned From,Contract Valid Until,Height,Weight,Release Clause (€),Kit Number,Best Overall Rating
209658,L. Goretzka,27,https://cdn.sofifa.net/players/209/658/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,87,88,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,91000000.0,115000.0,2312,Right,4.0,4.0,3.0,High/ Medium,Unique,Yes,SUB,"Jul 1, 2018",,2026,189cm,82kg,157000000.0,8,
212198,Bruno Fernandes,27,https://cdn.sofifa.net/players/212/198/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,86,87,Manchester United,https://cdn.sofifa.net/teams/11/30.png,78500000.0,190000.0,2305,Right,3.0,3.0,4.0,High/ High,Unique,Yes,LCM,"Jan 30, 2020",,2026,179cm,69kg,155000000.0,8,
224334,M. Acuña,30,https://cdn.sofifa.net/players/224/334/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,85,85,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,46500000.0,46000.0,2303,Left,2.0,3.0,3.0,High/ High,Stocky (170-185),No,LB,"Sep 14, 2020",,2024,172cm,69kg,97700000.0,19,
192985,K. De Bruyne,31,https://cdn.sofifa.net/players/192/985/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,91,91,Manchester City,https://cdn.sofifa.net/teams/10/30.png,107500000.0,350000.0,2303,Right,4.0,5.0,4.0,High/ High,Unique,Yes,RCM,"Aug 30, 2015",,2025,181cm,70kg,198900000.0,17,
224232,N. Barella,25,https://cdn.sofifa.net/players/224/232/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,86,89,Inter,https://cdn.sofifa.net/teams/44/30.png,89500000.0,110000.0,2296,Right,3.0,3.0,3.0,High/ High,Normal (170-),Yes,RCM,"Sep 1, 2020",,2026,172cm,68kg,154400000.0,23,
212622,J. Kimmich,27,https://cdn.sofifa.net/players/212/622/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,89,90,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,105500000.0,130000.0,2283,Right,4.0,4.0,3.0,High/ Medium,Normal (170-185),Yes,RDM,"Jul 1, 2015",,2025,177cm,75kg,182000000.0,6,
197445,D. Alaba,30,https://cdn.sofifa.net/players/197/445/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,86,86,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,55500000.0,220000.0,2277,Left,4.0,4.0,3.0,Medium/ Medium,Normal (170-185),Yes,LCB,"Jul 1, 2021",,2026,180cm,78kg,113800000.0,4,
187961,Paulinho,32,https://cdn.sofifa.net/players/187/961/22_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,83,83,Al Ahli,https://cdn.sofifa.net/teams/112387/30.png,28500000.0,61000.0,2273,Right,3.0,4.0,4.0,High/ High,Normal (170-185),Yes,LCM,"Jul 22, 2021",,2024,183cm,80kg,48500000.0,15,
208333,E. Can,28,https://cdn.sofifa.net/players/208/333/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,82,82,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,30500000.0,63000.0,2271,Right,3.0,4.0,3.0,Medium/ High,Stocky (185+),Yes,SUB,"Feb 18, 2020",,2024,186cm,86kg,51900000.0,23,
210514,João Cancelo,28,https://cdn.sofifa.net/players/210/514/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,88,88,Manchester City,https://cdn.sofifa.net/teams/10/30.png,82500000.0,250000.0,2262,Right,3.0,4.0,4.0,High/ Medium,Unique,Yes,LB,"Aug 7, 2019",,2027,182cm,74kg,152600000.0,7,
228251,L. Pellegrini,26,https://cdn.sofifa.net/players/228/251/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,84,87,Roma,https://cdn.sofifa.net/teams/52/30.png,55000000.0,95000.0,2258,Right,2.0,4.0,3.0,High/ High,Lean (185+),Yes,RCM,"Jul 1, 2017",,2026,186cm,77kg,97600000.0,7,
